classification,database,major,access_location
junior,"Voices from the Dust Bowl: the Charles L. Todd and Robert Sonkin Migrant Worker Collection, 1940-1941","5404,SOCIAL WORK,Psychology & Social Work",off campus
faculty,Gale OneFile: Environmental Studies,"2300,GENERAL EDUCATION,Education",on campus
faculty,IET Digital Library,"2304,ELEMENTARY EDUCATION,Education",off campus
senior,Lippincott Health Library,"2416,MINING AND MINERAL ENGINEERING,Engineering",off campus
freshman,PILOTS,"5504,GEOGRAPHY,Social Science",on campus
senior,Naxos Music Library Jazz,"2201,COSMETOLOGY SERVICES AND CULINARY ARTS,Industrial Arts & Consumer Services",on campus
junior,National Theatre Collection 1 and 2,"5503,CRIMINOLOGY,Social Science",off campus
junior,Apartheid South Africa,"6299,MISCELLANEOUS BUSINESS & MEDICAL ADMINISTRATION,Business",off campus
faculty,Scientific American Archive Online,"5102,""NUCLEAR, INDUSTRIAL RADIOLOGY, AND BIOLOGICAL TECHNOLOGIES"",Physical Sciences",off campus
freshman,Victorian Popular Culture,"FOD1P,Major,Major_Category",off campus
doctorate,SciFinder-n,"3302,COMPOSITION AND RHETORIC,Humanities & Liberal Arts",off campus
junior,Florida Digital Newspaper Library,"5501,ECONOMICS,Social Science",on campus
freshman,Victorian Popular Culture,"1103,ANIMAL SCIENCES,Agriculture & Natural Resources",off campus
graduate,ARTFL: French Women Writers Database,"6207,FINANCE,Business",on campus
senior,CIA World Factbook,"1901,COMMUNICATIONS,Communications & Journalism",off campus
graduate,DynaMed,"3699,MISCELLANEOUS BIOLOGY,Biology & Life Science",off campus
junior,IET Digital Library,"3702,STATISTICS AND DECISION SCIENCE,Computers & Mathematics",on campus
junior,"Sousa, John Philip: The March King: John Philip Sousa","1303,NATURAL RESOURCES MANAGEMENT,Agriculture & Natural Resources",on campus
graduate,Making of America Journals (Cornell),"6002,MUSIC,Arts",on campus
senior,Political Risk Yearbook,"2599,MISCELLANEOUS ENGINEERING TECHNOLOGIES,Engineering",on campus
faculty,Lippincott Health Library,"3602,BOTANY,Biology & Life Science",off campus
doctorate,Academic Video Online,"3601,BIOCHEMICAL SCIENCES,Biology & Life Science",on campus
faculty,Virtual Gramophone: Canadian Historical Sound Recordings,"2105,INFORMATION SCIENCES,Computers & Mathematics",off campus
faculty,"Early American Imprints, Series I: Evans, 1639-1800","2402,BIOLOGICAL ENGINEERING,Engineering",off campus
faculty,SEPM (Society for Sedimentary Geology) Publications,"2310,SPECIAL NEEDS EDUCATION,Education",on campus
senior,EconPapers,"2201,COSMETOLOGY SERVICES AND CULINARY ARTS,Industrial Arts & Consumer Services",off campus
graduate,Urban Institute,"2502,ELECTRICAL ENGINEERING TECHNOLOGY,Engineering",off campus
graduate,Music Online:  Popular Music Library,"2603,OTHER FOREIGN LANGUAGES,Humanities & Liberal Arts",off campus
senior,"Meiji Japan: The Edward Sylvester Morse Collection from the Peabody Essex Museum, Salem","6106,HEALTH AND MEDICAL PREPARATORY PROGRAMS,Health",off campus
junior,Scientific American Archive Online,"5002,ATMOSPHERIC SCIENCES AND METEOROLOGY,Physical Sciences",on campus
graduate,Urban Institute,"6201,ACCOUNTING,Business",on campus
junior,Medieval Travel Writing,"6099,MISCELLANEOUS FINE ARTS,Arts",on campus
junior,Gale OneFile: Educator's Reference,"2406,CIVIL ENGINEERING,Engineering",off campus
faculty,ARL Annual Salary Survey,"1102,AGRICULTURAL ECONOMICS,Agriculture & Natural Resources",on campus
freshman,PsychiatryOnline,"1903,MASS MEDIA,Communications & Journalism",on campus
senior,National Theatre Collection 1 and 2,"2412,INDUSTRIAL AND MANUFACTURING ENGINEERING,Engineering",off campus
junior,ASTM Compass,"6210,INTERNATIONAL BUSINESS,Business",off campus
graduate,DRAM: Database of Recorded American Music,"1401,ARCHITECTURE,Engineering",off campus
junior,Naxos Music Library,"3702,STATISTICS AND DECISION SCIENCE,Computers & Mathematics",on campus
doctorate,National Science Foundation Awards Database,"6202,ACTUARIAL SCIENCE,Business",on campus
faculty,National Science Foundation Awards Database,"2201,COSMETOLOGY SERVICES AND CULINARY ARTS,Industrial Arts & Consumer Services",off campus
junior,"Nixon Years, 1969-1974","5201,EDUCATIONAL PSYCHOLOGY,Psychology & Social Work",on campus
doctorate,Dance Online:  Dance in Video,"3702,STATISTICS AND DECISION SCIENCE,Computers & Mathematics",off campus
faculty,RIPM Retrospective Index to Music Periodicals with Online Archive,"6103,HEALTH AND MEDICAL ADMINISTRATIVE SERVICES,Health",on campus
faculty,ARTFL French Dictionaries,"2601,LINGUISTICS AND COMPARATIVE LANGUAGE AND LITERATURE,Humanities & Liberal Arts",on campus
sophomore,title,"2601,LINGUISTICS AND COMPARATIVE LANGUAGE AND LITERATURE,Humanities & Liberal Arts",on campus
senior,"Early American Imprints, Series I: Evans, 1639-1800","3701,APPLIED MATHEMATICS,Computers & Mathematics",on campus
doctorate,Literature Resource Center,"2201,COSMETOLOGY SERVICES AND CULINARY ARTS,Industrial Arts & Consumer Services",off campus
freshman,Music Online:  Listening,"5901,TRANSPORTATION SCIENCES AND TECHNOLOGIES,Industrial Arts & Consumer Services",on campus
graduate,Gale General OneFile,"1199,MISCELLANEOUS AGRICULTURE,Agriculture & Natural Resources",on campus
faculty,INFORMS PubsOnLine,"6110,COMMUNITY AND PUBLIC HEALTH,Health",on campus
faculty,Feature Films for Education ,"5001,ASTRONOMY AND ASTROPHYSICS,Physical Sciences",off campus
freshman,ARTFL Main Database of French Texts,"5599,MISCELLANEOUS SOCIAL SCIENCES,Social Science",off campus
doctorate,Political Risk Yearbook,"6109,TREATMENT THERAPY PROFESSIONS,Health",on campus
sophomore,PILOTS,"1301,ENVIRONMENTAL SCIENCE,Biology & Life Science",off campus
junior,EconPapers,"5402,PUBLIC POLICY,Law & Public Policy",off campus
faculty,Agricultural &amp;amp; Environmental Science,"6204,OPERATIONS LOGISTICS AND E-COMMERCE,Business",off campus
senior,ARL Annual Salary Survey,"5402,PUBLIC POLICY,Law & Public Policy",on campus
freshman,National Theatre Collection 1 and 2,"3605,GENETICS,Biology & Life Science",off campus
doctorate,Virtual Music Rare Book Room,"6099,MISCELLANEOUS FINE ARTS,Arts",on campus
senior,Fiddle Tunes of the Old Frontier: The Henry Reed Collection,"3402,HUMANITIES,Humanities & Liberal Arts",off campus
senior,Latin American Network Information Center,"2304,ELEMENTARY EDUCATION,Education",on campus
doctorate,PsychiatryOnline,"6207,FINANCE,Business",off campus
freshman,Literature Criticism Online,"6212,MANAGEMENT INFORMATION SYSTEMS AND STATISTICS,Business",on campus
senior,Gale OneFile: Environmental Studies,"1903,MASS MEDIA,Communications & Journalism",on campus
doctorate,ARTFL: Provencal Poetry Database,"2001,COMMUNICATION TECHNOLOGIES,Computers & Mathematics",on campus
senior,ERIC (ProQuest),"2304,ELEMENTARY EDUCATION,Education",off campus
graduate,ARTFL French Dictionaries,"5203,COUNSELING PSYCHOLOGY,Psychology & Social Work",off campus
junior,ARL Annual Salary Survey,"4007,INTERDISCIPLINARY SOCIAL SCIENCES,Social Science",off campus
senior,Victorian Popular Culture,"2102,COMPUTER SCIENCE,Computers & Mathematics",off campus
junior,Literature Criticism Online,"5008,MATERIALS SCIENCE,Engineering",off campus
sophomore,"Mafia in Florida and Cuba: FBI Surveillance of Meyer Lansky and Santo Trafficante, Jr.","3608,PHYSIOLOGY,Biology & Life Science",on campus
senior,Scientific American Archive Online,"5501,ECONOMICS,Social Science",on campus
faculty,Scientific American Archive Online,"6207,FINANCE,Business",on campus
graduate,AAPG Datapages,"3202,PRE-LAW AND LEGAL STUDIES,Law & Public Policy",on campus
freshman,CINAHL Plus,"1102,AGRICULTURAL ECONOMICS,Agriculture & Natural Resources",off campus
senior,ProQuest Historical Newspapers: Philadelphia Tribune (1912-2001),"5500,GENERAL SOCIAL SCIENCES,Social Science",off campus
senior,Oxford Bibliographies Online: Philosophy,"6107,NURSING,Health",on campus
faculty,INFORMS PubsOnLine,"1105,PLANT SCIENCE AND AGRONOMY,Agriculture & Natural Resources",on campus
freshman,Music Online:  Popular Music Library,"2412,INDUSTRIAL AND MANUFACTURING ENGINEERING,Engineering",off campus
senior,Medieval Travel Writing,"2603,OTHER FOREIGN LANGUAGES,Humanities & Liberal Arts",on campus
graduate,Trans-Atlantic Slave Trade Database,"6103,HEALTH AND MEDICAL ADMINISTRATIVE SERVICES,Health",off campus
graduate,ULI Development Case Studies,"2310,SPECIAL NEEDS EDUCATION,Education",off campus
freshman,National Theatre Collection 1 and 2,"2311,SOCIAL SCIENCE OR HISTORY TEACHER EDUCATION,Education",on campus
doctorate,Gale eBooks,"2300,GENERAL EDUCATION,Education",on campus
faculty,Ambrose Video,"2412,INDUSTRIAL AND MANUFACTURING ENGINEERING,Engineering",on campus
freshman,Lippincott Health Library,"2601,LINGUISTICS AND COMPARATIVE LANGUAGE AND LITERATURE,Humanities & Liberal Arts",off campus
sophomore,Political Risk Yearbook,"3604,ECOLOGY,Biology & Life Science",off campus
freshman,ABI/INFORM Collection,"5599,MISCELLANEOUS SOCIAL SCIENCES,Social Science",off campus
sophomore,IEEE Xplore Digital Library,"6299,MISCELLANEOUS BUSINESS & MEDICAL ADMINISTRATION,Business",off campus
junior,University of Miami Electronic Theses and Dissertations,"3601,BIOCHEMICAL SCIENCES,Biology & Life Science",off campus
graduate,Medieval Travel Writing,"5005,GEOSCIENCES,Physical Sciences",on campus
junior,ERIC (Education Resources Information Center),"5506,POLITICAL SCIENCE AND GOVERNMENT,Social Science",on campus
senior,ASTM Compass,"2400,GENERAL ENGINEERING,Engineering",on campus
freshman,Feature Films for Education ,"2418,NUCLEAR ENGINEERING,Engineering",off campus
doctorate,E-Codices: Virtual Manuscript Library of Switzerland,"1501,AREA ETHNIC AND CIVILIZATION STUDIES,Humanities & Liberal Arts",off campus
junior,Music Online:  Listening,"1903,MASS MEDIA,Communications & Journalism",on campus
sophomore,"Meiji Japan: The Edward Sylvester Morse Collection from the Peabody Essex Museum, Salem","6210,INTERNATIONAL BUSINESS,Business",off campus
sophomore,ARL Annual Salary Survey,"5403,HUMAN SERVICES AND COMMUNITY ORGANIZATION,Psychology & Social Work",on campus
faculty,Healthcare Administration Database (ProQuest),"6006,ART HISTORY AND CRITICISM,Humanities & Liberal Arts",on campus
doctorate,"Early American Imprints, Series I: Evans, 1639-1800","3701,APPLIED MATHEMATICS,Computers & Mathematics",on campus
doctorate,"Early American Imprints, Series I: Evans, 1639-1800","3601,BIOCHEMICAL SCIENCES,Biology & Life Science",off campus
faculty,PILOTS,"1199,MISCELLANEOUS AGRICULTURE,Agriculture & Natural Resources",off campus
doctorate,Lippincott Health Library,"1105,PLANT SCIENCE AND AGRONOMY,Agriculture & Natural Resources",off campus
doctorate,ABI/INFORM Dateline,"5403,HUMAN SERVICES AND COMMUNITY ORGANIZATION,Psychology & Social Work",off campus
sophomore,INFORMS PubsOnLine,"2300,GENERAL EDUCATION,Education",off campus
graduate,UlrichsWeb Global Serials Directory,"2307,EARLY CHILDHOOD EDUCATION,Education",off campus
junior,ABI/INFORM Collection,"2418,NUCLEAR ENGINEERING,Engineering",on campus
senior,SEPM (Society for Sedimentary Geology) Publications,"6203,BUSINESS MANAGEMENT AND ADMINISTRATION,Business",on campus
senior,ARTFL French Dictionaries,"3700,MATHEMATICS,Computers & Mathematics",on campus
senior,Frances G. Spencer Collection of American Sheet Music,"2107,COMPUTER NETWORKING AND TELECOMMUNICATIONS,Computers & Mathematics",on campus
junior,Japanese-American Relocation Camp Newspapers: Perspectives on Day-to-Day Life,"1104,FOOD SCIENCE,Agriculture & Natural Resources",off campus
sophomore,LandScan Global Population Database,"1199,MISCELLANEOUS AGRICULTURE,Agriculture & Natural Resources",off campus
faculty,title,"2100,COMPUTER AND INFORMATION SYSTEMS,Computers & Mathematics",off campus
doctorate,Florida Digital Newspaper Library,"1904,ADVERTISING AND PUBLIC RELATIONS,Communications & Journalism",off campus
freshman,Music Online:  Popular Music Library,"5506,POLITICAL SCIENCE AND GOVERNMENT,Social Science",off campus
freshman,Naxos Music Library,"1301,ENVIRONMENTAL SCIENCE,Biology & Life Science",on campus
doctorate,Ethnographic Video Online,"4006,COGNITIVE SCIENCE AND BIOPSYCHOLOGY,Biology & Life Science",on campus
faculty,American West,"3701,APPLIED MATHEMATICS,Computers & Mathematics",on campus
faculty,Scientific American Archive Online,"2403,ARCHITECTURAL ENGINEERING,Engineering",on campus
freshman,Political Risk Yearbook,"2401,AEROSPACE ENGINEERING,Engineering",off campus
senior,Making of America Journals (Cornell),"5098,MULTI-DISCIPLINARY OR GENERAL SCIENCE,Physical Sciences",on campus
freshman,SEPM (Society for Sedimentary Geology) Publications,"3607,PHARMACOLOGY,Biology & Life Science",on campus
graduate,ARTFL Main Database of French Texts,"2314,ART AND MUSIC EDUCATION,Education",off campus
sophomore,Dance Online:  Dance in Video,"6205,BUSINESS ECONOMICS,Business",off campus
freshman,Music Online:  Listening,"2901,FAMILY AND CONSUMER SCIENCES,Industrial Arts & Consumer Services",on campus
senior,Florida Digital Newspaper Library,"5102,""NUCLEAR, INDUSTRIAL RADIOLOGY, AND BIOLOGICAL TECHNOLOGIES"",Physical Sciences",off campus
faculty,Virtual Music Rare Book Room,"2304,ELEMENTARY EDUCATION,Education",on campus
freshman,General Reference Center Gold,"6209,HUMAN RESOURCES AND PERSONNEL MANAGEMENT,Business",off campus
doctorate,Making of America Journals (Cornell),"5601,CONSTRUCTION SERVICES,Industrial Arts & Consumer Services",off campus
freshman,Medieval Travel Writing,"3609,ZOOLOGY,Biology & Life Science",on campus
junior,Humanities International Index,"3601,BIOCHEMICAL SCIENCES,Biology & Life Science",off campus
freshman,Frances G. Spencer Collection of American Sheet Music,"3301,ENGLISH LANGUAGE AND LITERATURE,Humanities & Liberal Arts",off campus
senior,PILOTS,"1104,FOOD SCIENCE,Agriculture & Natural Resources",on campus
graduate,National Science Foundation Awards Database,"5501,ECONOMICS,Social Science",on campus
sophomore,Florida Digital Newspaper Library,"5206,SOCIAL PSYCHOLOGY,Psychology & Social Work",off campus
sophomore,Oxford Bibliographies Online: Philosophy,"2307,EARLY CHILDHOOD EDUCATION,Education",off campus
senior,Political Risk Yearbook,"5505,INTERNATIONAL RELATIONS,Social Science",on campus
junior,"Mafia in Florida and Cuba: FBI Surveillance of Meyer Lansky and Santo Trafficante, Jr.","1199,MISCELLANEOUS AGRICULTURE,Agriculture & Natural Resources",on campus
junior,Sheldon Harris Sheet Music Collection,"3608,PHYSIOLOGY,Biology & Life Science",off campus
sophomore,Gale OneFile: Educator's Reference,"3701,APPLIED MATHEMATICS,Computers & Mathematics",on campus
doctorate,American West,"4101,PHYSICAL FITNESS PARKS RECREATION AND LEISURE,Industrial Arts & Consumer Services",off campus
senior,"Meiji Japan: The Edward Sylvester Morse Collection from the Peabody Essex Museum, Salem","2503,INDUSTRIAL PRODUCTION TECHNOLOGIES,Engineering",off campus
faculty,Sibley Music Library Music Scores,"6106,HEALTH AND MEDICAL PREPARATORY PROGRAMS,Health",on campus
senior,ARTFL: French Women Writers Database,"1904,ADVERTISING AND PUBLIC RELATIONS,Communications & Journalism",on campus
faculty,Business Insights: Global,"6003,VISUAL AND PERFORMING ARTS,Arts",off campus
senior,ERIC (Education Resources Information Center),"6203,BUSINESS MANAGEMENT AND ADMINISTRATION,Business",on campus
freshman,ProQuest Historical Newspapers: Philadelphia Tribune (1912-2001),"2307,EARLY CHILDHOOD EDUCATION,Education",off campus
freshman,"Voices from the Dust Bowl: the Charles L. Todd and Robert Sonkin Migrant Worker Collection, 1940-1941","4006,COGNITIVE SCIENCE AND BIOPSYCHOLOGY,Biology & Life Science",off campus
junior,UlrichsWeb Global Serials Directory,"6099,MISCELLANEOUS FINE ARTS,Arts",on campus
junior,DOE OpenNet,"2313,LANGUAGE AND DRAMA EDUCATION,Education",on campus
senior,INFORMS PubsOnLine,"5000,PHYSICAL SCIENCES,Physical Sciences",on campus
freshman,University of Miami Electronic Theses and Dissertations,"6007,STUDIO ARTS,Arts",on campus
graduate,American West,"1303,NATURAL RESOURCES MANAGEMENT,Agriculture & Natural Resources",on campus
sophomore,IEEE Xplore Digital Library,"1903,MASS MEDIA,Communications & Journalism",on campus
faculty,Elektronische Zeitschriftenbibliothek - Frei zugangliche E-Journals,"2599,MISCELLANEOUS ENGINEERING TECHNOLOGIES,Engineering",off campus
sophomore,E-Codices: Virtual Manuscript Library of Switzerland,"5003,CHEMISTRY,Physical Sciences",on campus
sophomore,Florida Digital Newspaper Library,"1105,PLANT SCIENCE AND AGRONOMY,Agriculture & Natural Resources",on campus
faculty,AAPG Datapages,"2417,NAVAL ARCHITECTURE AND MARINE ENGINEERING,Engineering",on campus
junior,CultureGrams,"2308,SCIENCE AND COMPUTER TEACHER EDUCATION,Education",off campus
freshman,Music Online:  Listening,"2400,GENERAL ENGINEERING,Engineering",off campus
junior,ASTM Compass,"2416,MINING AND MINERAL ENGINEERING,Engineering",on campus
graduate,IEEE Xplore Digital Library,"6210,INTERNATIONAL BUSINESS,Business",on campus
graduate,Christian Science Monitor,"4002,NUTRITION SCIENCES,Health",on campus
sophomore,Virtual Music Rare Book Room,"2305,MATHEMATICS TEACHER EDUCATION,Education",off campus
faculty,CIA World Factbook,"2107,COMPUTER NETWORKING AND TELECOMMUNICATIONS,Computers & Mathematics",on campus
doctorate,Making of America Journals (Cornell),"5501,ECONOMICS,Social Science",off campus
senior,INFORMS PubsOnLine,"6110,COMMUNITY AND PUBLIC HEALTH,Health",on campus
doctorate,Gale OneFile: Environmental Studies,"5001,ASTRONOMY AND ASTROPHYSICS,Physical Sciences",on campus
sophomore,Apartheid South Africa,"5402,PUBLIC POLICY,Law & Public Policy",off campus
sophomore,Advanced Technologies &amp;amp; Aerospace (ProQuest),"2901,FAMILY AND CONSUMER SCIENCES,Industrial Arts & Consumer Services",on campus
senior,Virtual Gramophone: Canadian Historical Sound Recordings,"6403,UNITED STATES HISTORY,Humanities & Liberal Arts",on campus
junior,Gale OneFile: Educator's Reference,"5501,ECONOMICS,Social Science",on campus
freshman,Gale OneFile: Environmental Studies,"2303,SCHOOL STUDENT COUNSELING,Education",off campus
freshman,Literature Resource Center,"6109,TREATMENT THERAPY PROFESSIONS,Health",on campus
junior,Political Risk Yearbook,"5500,GENERAL SOCIAL SCIENCES,Social Science",on campus
doctorate,National Science Foundation Awards Database,"2411,GEOLOGICAL AND GEOPHYSICAL ENGINEERING,Engineering",on campus
doctorate,Elektronische Zeitschriftenbibliothek - Frei zugangliche E-Journals,"2313,LANGUAGE AND DRAMA EDUCATION,Education",off campus
sophomore,Ethnographic Video Online,"1102,AGRICULTURAL ECONOMICS,Agriculture & Natural Resources",on campus
freshman,Gale OneFile: Educator's Reference,"5202,CLINICAL PSYCHOLOGY,Psychology & Social Work",off campus
freshman,American Indian Movement And Native American Radicalism,"2399,MISCELLANEOUS EDUCATION,Education",on campus
freshman,Pollution Abstracts,"6299,MISCELLANEOUS BUSINESS & MEDICAL ADMINISTRATION,Business",on campus
faculty,Healthcare Administration Database (ProQuest),"5008,MATERIALS SCIENCE,Engineering",on campus
doctorate,SciFinder-n,"6102,COMMUNICATION DISORDERS SCIENCES AND SERVICES,Health",off campus
graduate,ARTFL French Dictionaries,"2405,CHEMICAL ENGINEERING,Engineering",on campus
freshman,IEEE Xplore Digital Library,"2416,MINING AND MINERAL ENGINEERING,Engineering",off campus
senior,Healthcare Administration Database (ProQuest),"6107,NURSING,Health",on campus
faculty,"Meiji Japan: The Edward Sylvester Morse Collection from the Peabody Essex Museum, Salem","2201,COSMETOLOGY SERVICES AND CULINARY ARTS,Industrial Arts & Consumer Services",on campus
junior,DynaMed,"3402,HUMANITIES,Humanities & Liberal Arts",on campus
junior,SCOPUS,"6099,MISCELLANEOUS FINE ARTS,Arts",off campus
sophomore,Academic Video Online,"2305,MATHEMATICS TEACHER EDUCATION,Education",on campus
senior,ARTFL Main Database of French Texts,"5502,ANTHROPOLOGY AND ARCHEOLOGY,Humanities & Liberal Arts",off campus
freshman,E-Codices: Virtual Manuscript Library of Switzerland,"6109,TREATMENT THERAPY PROFESSIONS,Health",on campus
sophomore,IDEAS Internet Documents in Economics Access Service,"2404,BIOMEDICAL ENGINEERING,Engineering",on campus
faculty,ERIC (ProQuest),"5203,COUNSELING PSYCHOLOGY,Psychology & Social Work",on campus
senior,PILOTS,"4001,INTERCULTURAL AND INTERNATIONAL STUDIES,Humanities & Liberal Arts",on campus
senior,Academic Video Online,"2500,ENGINEERING TECHNOLOGIES,Engineering",on campus
senior,ARL Annual Salary Survey,"5403,HUMAN SERVICES AND COMMUNITY ORGANIZATION,Psychology & Social Work",on campus
sophomore,Gale eBooks,"3402,HUMANITIES,Humanities & Liberal Arts",on campus
sophomore,PILOTS,"1106,SOIL SCIENCE,Agriculture & Natural Resources",on campus
freshman,Latin American Network Information Center,"2305,MATHEMATICS TEACHER EDUCATION,Education",off campus
freshman,DRAM: Database of Recorded American Music,"3700,MATHEMATICS,Computers & Mathematics",off campus
junior,"Mafia in Florida and Cuba: FBI Surveillance of Meyer Lansky and Santo Trafficante, Jr.","2410,ENVIRONMENTAL ENGINEERING,Engineering",off campus
freshman,Trans-Atlantic Slave Trade Database,"4002,NUTRITION SCIENCES,Health",off campus
faculty,Gale OneFile: Educator's Reference,"1302,FORESTRY,Agriculture & Natural Resources",on campus
sophomore,National Science Foundation Awards Database,"5299,MISCELLANEOUS PSYCHOLOGY,Psychology & Social Work",on campus
freshman,United Nations Treaty Collection,"2407,COMPUTER ENGINEERING,Engineering",on campus
senior,Frances G. Spencer Collection of American Sheet Music,"3611,NEUROSCIENCE,Biology & Life Science",off campus
junior,"Nixon Years, 1969-1974","5102,""NUCLEAR, INDUSTRIAL RADIOLOGY, AND BIOLOGICAL TECHNOLOGIES"",Physical Sciences",off campus
graduate,Naxos Music Library Jazz,"2308,SCIENCE AND COMPUTER TEACHER EDUCATION,Education",off campus
freshman,Gale eBooks,"2415,METALLURGICAL ENGINEERING,Engineering",off campus
junior,CultureGrams,"3607,PHARMACOLOGY,Biology & Life Science",on campus
freshman,"Nixon Years, 1969-1974","2309,SECONDARY TEACHER EDUCATION,Education",off campus
junior,Literature Criticism Online,"5404,SOCIAL WORK,Psychology & Social Work",off campus
freshman,RIPM Retrospective Index to Music Periodicals with Online Archive,"4002,NUTRITION SCIENCES,Health",on campus
sophomore,Florida Digital Newspaper Library,"3699,MISCELLANEOUS BIOLOGY,Biology & Life Science",off campus
faculty,Literature Resource Center,"5504,GEOGRAPHY,Social Science",off campus
senior,ULI Development Case Studies,"1302,FORESTRY,Agriculture & Natural Resources",on campus
doctorate,Gale OneFile: Educator's Reference,"6207,FINANCE,Business",off campus
faculty,Pollution Abstracts,"2101,COMPUTER PROGRAMMING AND DATA PROCESSING,Computers & Mathematics",on campus
faculty,"Florida Folklife from the WPA Collections, 1937-1942","6201,ACCOUNTING,Business",off campus
graduate,American Indian Movement And Native American Radicalism,"6102,COMMUNICATION DISORDERS SCIENCES AND SERVICES,Health",on campus
faculty,American West,"1301,ENVIRONMENTAL SCIENCE,Biology & Life Science",on campus
sophomore,SCOPUS,"2411,GEOLOGICAL AND GEOPHYSICAL ENGINEERING,Engineering",off campus
junior,Virtual Gramophone: Canadian Historical Sound Recordings,"6106,HEALTH AND MEDICAL PREPARATORY PROGRAMS,Health",off campus
graduate,"Caribbean Newspapers, 1718-1876","5403,HUMAN SERVICES AND COMMUNITY ORGANIZATION,Psychology & Social Work",on campus
graduate,Florida Digital Newspaper Library,"2404,BIOMEDICAL ENGINEERING,Engineering",off campus
graduate,ASTM Compass,"2401,AEROSPACE ENGINEERING,Engineering",off campus
doctorate,Sheldon Harris Sheet Music Collection,"1904,ADVERTISING AND PUBLIC RELATIONS,Communications & Journalism",off campus
graduate,Fiddle Tunes of the Old Frontier: The Henry Reed Collection,"5002,ATMOSPHERIC SCIENCES AND METEOROLOGY,Physical Sciences",off campus
freshman,Migration to New Worlds,"6005,FILM VIDEO AND PHOTOGRAPHIC ARTS,Arts",off campus
junior,Healthcare Administration Database (ProQuest),"2415,METALLURGICAL ENGINEERING,Engineering",off campus
freshman,Scientific American Archive Online,"2314,ART AND MUSIC EDUCATION,Education",on campus
sophomore,ARL Annual Salary Survey,"2409,ENGINEERING MECHANICS PHYSICS AND SCIENCE,Engineering",off campus
faculty,Christian Science Monitor,"2201,COSMETOLOGY SERVICES AND CULINARY ARTS,Industrial Arts & Consumer Services",on campus
junior,ProQuest Historical Newspapers: Philadelphia Tribune (1912-2001),"3699,MISCELLANEOUS BIOLOGY,Biology & Life Science",off campus
sophomore,ASTM Compass,"3601,BIOCHEMICAL SCIENCES,Biology & Life Science",off campus
junior,"Mafia in Florida and Cuba: FBI Surveillance of Meyer Lansky and Santo Trafficante, Jr.","1902,JOURNALISM,Communications & Journalism",off campus
freshman,Making of America Journals (Cornell),"2901,FAMILY AND CONSUMER SCIENCES,Industrial Arts & Consumer Services",off campus
junior,Literature Resource Center,"5004,GEOLOGY AND EARTH SCIENCE,Physical Sciences",on campus
faculty,Gale OneFile: Educator's Reference,"5007,PHYSICS,Physical Sciences",off campus
freshman,ERIC (ProQuest),"6105,MEDICAL TECHNOLOGIES TECHNICIANS,Health",on campus
graduate,Migration to New Worlds,"3302,COMPOSITION AND RHETORIC,Humanities & Liberal Arts",off campus
senior,ProQuest Historical Newspapers: Philadelphia Tribune (1912-2001),"2304,ELEMENTARY EDUCATION,Education",off campus
faculty,Academic Video Online,"1106,SOIL SCIENCE,Agriculture & Natural Resources",off campus
junior,Frances G. Spencer Collection of American Sheet Music,"3701,APPLIED MATHEMATICS,Computers & Mathematics",on campus
doctorate,Music Online:  Listening,"2308,SCIENCE AND COMPUTER TEACHER EDUCATION,Education",off campus
freshman,American Indian Movement And Native American Radicalism,"2400,GENERAL ENGINEERING,Engineering",off campus
doctorate,Scientific American Archive Online,"2901,FAMILY AND CONSUMER SCIENCES,Industrial Arts & Consumer Services",on campus
sophomore,CultureGrams,"3700,MATHEMATICS,Computers & Mathematics",off campus
sophomore,Ambrose Video,"2304,ELEMENTARY EDUCATION,Education",off campus
sophomore,Sibley Music Library Music Scores,"6210,INTERNATIONAL BUSINESS,Business",on campus
senior,UlrichsWeb Global Serials Directory,"2100,COMPUTER AND INFORMATION SYSTEMS,Computers & Mathematics",off campus
graduate,RIPM Retrospective Index to Music Periodicals with Online Archive,"4801,PHILOSOPHY AND RELIGIOUS STUDIES,Humanities & Liberal Arts",off campus
sophomore,American Indian Movement And Native American Radicalism,"1903,MASS MEDIA,Communications & Journalism",on campus
doctorate,Feature Films for Education ,"3201,COURT REPORTING,Law & Public Policy",on campus
senior,RIPM Retrospective Index to Music Periodicals with Online Archive,"1103,ANIMAL SCIENCES,Agriculture & Natural Resources",off campus
sophomore,AAPG Datapages,"5299,MISCELLANEOUS PSYCHOLOGY,Psychology & Social Work",off campus
graduate,ABI/INFORM Global,"5505,INTERNATIONAL RELATIONS,Social Science",off campus
graduate,Academic Video Online,"6003,VISUAL AND PERFORMING ARTS,Arts",on campus
sophomore,Medieval Travel Writing,"6099,MISCELLANEOUS FINE ARTS,Arts",off campus
graduate,ARTFL: French Women Writers Database,"2314,ART AND MUSIC EDUCATION,Education",off campus
freshman,Japanese-American Relocation Camp Newspapers: Perspectives on Day-to-Day Life,"2310,SPECIAL NEEDS EDUCATION,Education",off campus
doctorate,Oxford Bibliographies Online: Philosophy,"6200,GENERAL BUSINESS,Business",off campus
graduate,"Early American Imprints, Series I: Evans, 1639-1800","2201,COSMETOLOGY SERVICES AND CULINARY ARTS,Industrial Arts & Consumer Services",on campus
graduate,Literature Resource Center,"2405,CHEMICAL ENGINEERING,Engineering",off campus
junior,Gale General OneFile,"2418,NUCLEAR ENGINEERING,Engineering",off campus
